Released,Title,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office
18-Dec-09,Avatar,Science Fiction,"$237,000,000 ","$760,507,625 ","$2,085,391,916 ","$2,845,899,541 "
26-Apr-19,Avengers: Endgame,Super Hero,"$400,000,000 ","$858,373,000 ","$1,939,427,564 ","$2,797,800,564 "
27-Apr-18,Avengers: Infinity War,Super Hero,"$300,000,000 ","$678,815,482 ","$1,369,544,272 ","$2,048,359,754 "
17-Dec-21,Spider-Man: No Way Home,Super Hero,"$200,000,000 ","$804,617,772 ","$1,081,688,244 ","$1,886,306,016 "
12-Jun-15,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,017,673,342 ","$1,669,979,967 "
4-May-12,The Avengers,Super Hero,"$225,000,000 ","$623,357,910 ","$891,742,301 ","$1,515,100,211 "
3-Apr-15,Furious 7,Contemporary Fiction,"$190,000,000 ","$353,007,020 ","$1,161,546,466 ","$1,514,553,486 "
1-May-15,Avengers: Age of Ultron,Super Hero,"$365,000,000 ","$459,005,868 ","$936,311,111 ","$1,395,316,979 "
16-Feb-18,Black Panther,Super Hero,"$200,000,000 ","$700,059,566 ","$636,434,755 ","$1,336,494,321 "
22-Jun-18,Jurassic World: Fallen Kingdom,Science Fiction,"$170,000,000 ","$417,719,760 ","$890,614,245 ","$1,308,334,005 "
14-Apr-17,The Fate of the Furious,Contemporary Fiction,"$250,000,000 ","$225,764,765 ","$1,010,939,031 ","$1,236,703,796 "
3-May-13,Iron Man 3,Super Hero,"$200,000,000 ","$408,992,272 ","$806,400,000 ","$1,215,392,272 "
6-May-16,Captain America: Civil War,Super Hero,"$250,000,000 ","$408,084,349 ","$743,834,172 ","$1,151,918,521 "
21-Dec-18,Aquaman,Super Hero,"$160,000,000 ","$335,061,807 ","$808,696,893 ","$1,143,758,700 "
27-May-22,Top Gun: Maverick,Contemporary Fiction,"$170,000,000 ","$597,412,643 ","$544,500,000 ","$1,141,912,643 "
2-Jul-19,Spider-Man: Far From Home,Super Hero,"$160,000,000 ","$390,532,085 ","$742,000,747 ","$1,132,532,832 "
8-Mar-19,Captain Marvel,Super Hero,"$175,000,000 ","$426,829,839 ","$702,897,549 ","$1,129,727,388 "
29-Jun-11,Transformers: Dark of the Moon,Science Fiction,"$195,000,000 ","$352,390,543 ","$771,403,536 ","$1,123,794,079 "
8-Nov-12,Skyfall,Contemporary Fiction,"$200,000,000 ","$304,360,277 ","$806,166,704 ","$1,110,526,981 "
27-Jun-14,Transformers: Age of Extinction,Science Fiction,"$210,000,000 ","$245,439,076 ","$858,614,996 ","$1,104,054,072 "
20-Jul-12,The Dark Knight Rises,Super Hero,"$230,000,000 ","$448,139,099 ","$634,089,008 ","$1,082,228,107 "
18-Jul-08,The Dark Knight,Super Hero,"$185,000,000 ","$533,720,947 ","$464,894,842 ","$998,615,789 "
6-May-22,Doctor Strange in the Multiverse of M…,Super Hero,"$200,000,000 ","$411,045,982 ","$536,316,936 ","$947,362,918 "
6-Nov-15,Spectre,Contemporary Fiction,"$300,000,000 ","$200,074,175 ","$679,426,585 ","$879,500,760 "
7-Jul-17,Spider-Man: Homecoming,Super Hero,"$175,000,000 ","$334,201,140 ","$544,145,300 ","$878,346,440 "
10-Jun-22,Jurassic World: Dominion,Science Fiction,"$165,000,000 ","$350,515,005 ","$526,146,000 ","$876,661,005 "
25-Mar-16,Batman v Superman: Dawn of Justice,Super Hero,"$263,000,000 ","$330,360,194 ","$542,034,897 ","$872,395,091 "
5-May-17,Guardians of the Galaxy Vol 2,Super Hero,"$200,000,000 ","$389,813,101 ","$479,300,000 ","$869,113,101 "
5-Oct-18,Venom,Super Hero,"$116,000,000 ","$213,511,408 ","$642,569,645 ","$856,081,053 "
3-Nov-17,Thor: Ragnarok,Super Hero,"$180,000,000 ","$315,058,289 ","$535,424,489 ","$850,482,778 "
24-Jun-09,Transformers: Revenge of the Fallen,Science Fiction,"$210,000,000 ","$402,111,870 ","$434,407,829 ","$836,519,699 "
2-Jun-17,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$405,494,813 ","$818,058,221 "
24-May-13,Fast and Furious 6,Contemporary Fiction,"$160,000,000 ","$238,679,850 ","$550,620,594 ","$789,300,444 "
27-Jul-18,Mission: Impossible—Fallout,Contemporary Fiction,"$178,000,000 ","$220,159,104 ","$567,017,625 ","$787,176,729 "
18-May-18,Deadpool 2,Super Hero,"$110,000,000 ","$324,591,735 ","$461,770,635 ","$786,362,370 "
12-Feb-16,Deadpool,Super Hero,"$58,000,000 ","$363,070,709 ","$418,876,982 ","$781,947,691 "
1-Aug-14,Guardians of the Galaxy,Super Hero,"$170,000,000 ","$333,714,112 ","$437,168,283 ","$770,882,395 "
1-Mar-22,The Batman,Super Hero,"$200,000,000 ","$369,345,583 ","$398,814,415 ","$768,159,998 "
8-Oct-21,No Time to Die,Contemporary Fiction,"$250,000,000 ","$160,891,007 ","$599,948,654 ","$760,839,661 "
2-Aug-19,Fast & Furious Presents: Hobbs & Shaw,Contemporary Fiction,"$200,000,000 ","$173,956,935 ","$586,424,771 ","$760,381,706 "
13-Nov-09,2012,Science Fiction,"$200,000,000 ","$166,112,167 ","$591,565,581 ","$757,677,748 "
23-May-14,X-Men: Days of Future Past,Super Hero,"$200,000,000 ","$233,921,534 ","$513,941,241 ","$747,862,775 "
5-Aug-16,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$420,644,926 ","$745,744,980 "
15-May-03,The Matrix Reloaded,Science Fiction,"$150,000,000 ","$281,553,689 ","$457,023,240 ","$738,576,929 "
5-Feb-19,Liu Lang Di Qiu,Science Fiction,"$50,000,000 ","$5,875,487 ","$721,970,963 ","$727,846,450 "
25-Jun-21,F9: The Fast Saga,Contemporary Fiction,"$200,000,000 ","$173,005,945 ","$548,072,000 ","$721,077,945 "
4-Apr-14,Captain America: The Winter Soldier,Super Hero,"$170,000,000 ","$259,746,958 ","$454,654,931 ","$714,401,889 "
2-May-14,The Amazing Spider-Man 2,Super Hero,"$200,000,000 ","$202,853,933 ","$506,142,403 ","$708,996,336 "
2-Jul-07,Transformers,Science Fiction,"$151,000,000 ","$319,246,193 ","$389,026,399 ","$708,272,592 "
31-Dec-19,Tang Ren Jie Tan An 3,Contemporary Fiction,"$117,000,000 ",$0 ,"$699,084,069 ","$699,084,069 "
16-Dec-11,Mission: Impossible—Ghost Protocol,Contemporary Fiction,"$145,000,000 ","$209,397,903 ","$485,315,327 ","$694,713,230 "
31-Jul-15,Mission: Impossible—Rogue Nation,Contemporary Fiction,"$150,000,000 ","$195,042,377 ","$493,816,615 ","$688,858,992 "
4-Nov-16,Doctor Strange,Super Hero,"$165,000,000 ","$232,641,920 ","$443,712,561 ","$676,354,481 "
14-Jun-13,Man of Steel,Super Hero,"$225,000,000 ","$291,045,518 ","$376,954,000 ","$667,999,518 "
17-Nov-17,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$426,920,914 ","$655,945,209 "
8-Nov-13,Thor: The Dark World,Super Hero,"$150,000,000 ","$206,362,140 ","$438,240,376 ","$644,602,516 "
29-Apr-11,Fast Five,Contemporary Fiction,"$125,000,000 ","$210,031,325 ","$420,132,129 ","$630,163,454 "
1-Jul-08,Hancock,Super Hero,"$150,000,000 ","$227,946,274 ","$396,287,998 ","$624,234,272 "
6-Jul-18,Ant-Man and the Wasp,Super Hero,"$130,000,000 ","$216,648,740 ","$406,495,920 ","$623,144,660 "
7-May-10,Iron Man 2,Super Hero,"$170,000,000 ","$312,433,331 ","$308,723,058 ","$621,156,389 "
22-May-97,The Lost World: Jurassic Park,Science Fiction,"$75,000,000 ","$229,086,679 ","$389,552,320 ","$618,638,999 "
3-Mar-17,Logan,Super Hero,"$127,000,000 ","$226,277,068 ","$387,925,247 ","$614,202,315 "
29-Jun-05,War of the Worlds,Science Fiction,"$132,000,000 ","$234,280,354 ","$372,556,181 ","$606,836,535 "
21-Jun-17,Transformers: The Last Knight,Science Fiction,"$217,000,000 ","$130,168,683 ","$472,724,657 ","$602,893,340 "
17-Nov-06,Casino Royale,Contemporary Fiction,"$102,000,000 ","$167,365,000 ","$427,055,283 ","$594,420,283 "
14-Nov-08,Quantum of Solace,Contemporary Fiction,"$230,000,000 ","$169,368,427 ","$422,323,651 ","$591,692,078 "
24-May-00,Mission: Impossible 2,Contemporary Fiction,"$120,000,000 ","$215,409,889 ","$334,178,627 ","$549,588,516 "
27-May-16,X-Men: Apocalypse,Super Hero,"$178,000,000 ","$155,442,489 ","$387,095,057 ","$542,537,546 "
16-Dec-11,Sherlock Holmes: A Game of Shadows,Historical Fiction,"$125,000,000 ","$186,848,418 ","$348,815,025 ","$535,663,443 "
21-Jun-13,World War Z,Science Fiction,"$190,000,000 ","$202,706,711 ","$329,154,939 ","$531,861,650 "
16-May-14,Godzilla,Science Fiction,"$160,000,000 ","$200,676,069 ","$328,400,000 ","$529,076,069 "
10-Aug-18,The Meg,Science Fiction,"$178,000,000 ","$145,443,742 ","$381,926,973 ","$527,370,715 "
17-Jul-15,Ant-Man,Super Hero,"$130,000,000 ","$180,202,163 ","$338,656,286 ","$518,858,449 "
21-Jul-17,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$327,990,546 ","$518,058,826 "
1-Oct-21,Venom: Let There be Carnage,Super Hero,"$110,000,000 ","$213,550,366 ","$288,050,013 ","$501,600,379 "
10-May-96,Twister,Contemporary Fiction,"$88,000,000 ","$241,688,385 ","$254,011,615 ","$495,700,000 "
1-Apr-10,Clash of the Titans,Fantasy,"$125,000,000 ","$163,214,888 ","$330,000,000 ","$493,214,888 "
14-Jul-17,War for the Planet of the Apes,Science Fiction,"$152,000,000 ","$146,880,162 ","$342,712,105 ","$489,592,267 "
10-Jun-05,Mr. and Mrs. Smith,Contemporary Fiction,"$110,000,000 ","$186,336,279 ","$299,787,811 ","$486,124,090 "
14-May-04,Troy,Historical Fiction,"$150,000,000 ","$133,298,577 ","$349,853,463 ","$483,152,040 "
31-Mar-21,Godzilla vs. Kong,Science Fiction,"$155,000,000 ","$100,916,094 ","$367,148,534 ","$468,064,628 "
31-Mar-99,The Matrix,Science Fiction,"$65,000,000 ","$173,993,387 ","$291,980,811 ","$465,974,198 "
26-May-06,X-Men: The Last Stand,Super Hero,"$210,000,000 ","$234,362,462 ","$224,898,484 ","$459,260,946 "
21-May-96,Mission: Impossible,Contemporary Fiction,"$80,000,000 ","$180,981,886 ","$276,716,108 ","$457,697,994 "
25-Jul-14,Lucy,Science Fiction,"$40,000,000 ","$126,573,960 ","$330,933,816 ","$457,507,776 "
5-Dec-03,The Last Samurai,Historical Fiction,"$140,000,000 ","$111,110,575 ","$345,700,000 ","$456,810,575 "
5-May-00,Gladiator,Historical Fiction,"$103,000,000 ","$187,683,805 ","$268,751,783 ","$456,435,588 "
9-Mar-07,300,Historical Fiction,"$60,000,000 ","$210,614,939 ","$243,546,996 ","$454,161,935 "
6-May-11,Thor,Super Hero,"$150,000,000 ","$181,030,624 ","$268,295,994 ","$449,326,618 "
25-May-01,Pearl Harbor,Dramatization,"$151,500,000 ","$198,539,855 ","$250,699,998 ","$449,239,853 "
3-Jul-02,Men in Black 2,Science Fiction,"$140,000,000 ","$190,418,803 ","$251,349,000 ","$441,767,803 "
10-Jun-16,Warcraft,Fantasy,"$160,000,000 ","$47,365,290 ","$391,534,534 ","$438,899,824 "
1-Jul-03,Terminator 3: Rise of the Machines,Science Fiction,"$170,000,000 ","$150,358,296 ","$282,700,000 ","$433,058,296 "
3-Sep-21,Shang-Chi and the Legend of the Ten R…,Super Hero,"$150,000,000 ","$224,543,292 ","$207,700,000 ","$432,243,292 "
1-Jul-15,Terminator: Genisys,Science Fiction,"$155,000,000 ","$89,760,956 ","$342,389,938 ","$432,150,894 "
22-Nov-02,Die Another Day,Contemporary Fiction,"$142,000,000 ","$160,942,139 ","$271,000,000 ","$431,942,139 "
13-Apr-18,Rampage,Science Fiction,"$120,000,000 ","$101,028,233 ","$326,918,984 ","$427,947,217 "
5-Nov-03,The Matrix Revolutions,Science Fiction,"$150,000,000 ","$139,270,910 ","$288,029,350 ","$427,300,260 "
17-Jan-20,Bad Boys For Life,Contemporary Fiction,"$90,000,000 ","$204,417,855 ","$220,119,026 ","$424,536,881 "
26-Jul-13,The Wolverine,Super Hero,"$115,000,000 ","$132,556,852 ","$283,900,000 ","$416,456,852 "
