tconst,startYear,primaryTitle,CreativeType,ProductionBudget,DomesticBoxOffice,WorldwideBoxOffice,averageRating,ROI,PROI
tt0002718,1913,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",3.8,"$4,856,688 ",0.37 
tt0019732,1929,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.5,"$4,856,688 ",0.37 
tt0027057,1935,Suicide Squad,Super Hero,"$175,000,000 ","$325,100,054 ","$745,744,980 ",4.2,"$570,744,980 ",3.26 
tt0051565,1958,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$518,058,826 ",7.0,"$368,058,826 ",2.45 
tt0056492,1962,The Great Wall,Historical Fiction,"$150,000,000 ","$45,157,105 ","$334,486,852 ",6.7,"$184,486,852 ",1.23 
tt0061250,1967,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",6.6,"$47,849,187 ",0.40 
tt0072419,1974,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",4.6,"$668,058,221 ",4.45 
tt0074074,1975,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",7.0,"$668,058,221 ",4.45 
tt0075787,1977,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",6.5,"$4,856,688 ",0.37 
tt0076745,1977,Spectre,Contemporary Fiction,"$300,000,000 ","$200,074,175 ","$879,500,760 ",6.0,"$579,500,760 ",1.93 
tt0086677,1984,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.0,"$4,856,688 ",0.37 
tt0102685,1991,Point Break,Contemporary Fiction,"$100,000,000 ","$28,782,481 ","$126,704,591 ",7.2,"$26,704,591 ",0.27 
tt0105818,1992,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",5.3,"($25,684,211)",(0.86)
tt0109502,1994,Criminal,Science Fiction,"$31,500,000 ","$14,708,696 ","$38,771,262 ",5.5,"$7,271,262 ",0.23 
tt0112738,1994,Criminal,Science Fiction,"$31,500,000 ","$14,708,696 ","$38,771,262 ",5.6,"$7,271,262 ",0.23 
tt0120667,2005,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",5.7,"$47,849,187 ",0.40 
tt0123573,1982,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",4.7,"$4,856,688 ",0.37 
tt0189451,1994,Criminal,Science Fiction,"$31,500,000 ","$14,708,696 ","$38,771,262 ",8.6,"$7,271,262 ",0.23 
tt0236908,2000,Max Steel,Science Fiction,"$10,000,000 ","$3,818,664 ","$4,563,080 ",6.1,"($5,436,920)",(0.54)
tt0254197,2000,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",2.2,"$4,856,688 ",0.37 
tt0264051,1978,Sultan,Contemporary Fiction,"$11,000,000 ","$5,599,781 ","$72,989,781 ",7.6,"$61,989,781 ",5.64 
tt0275137,2001,Justice League,Super Hero,"$300,000,000 ","$229,024,295 ","$655,945,209 ",8.6,"$355,945,209 ",1.19 
tt0291900,1997,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",5.6,"$47,849,187 ",0.40 
tt0331445,2000,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.4,"$4,856,688 ",0.37 
tt0341284,2003,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",3.9,"$4,856,688 ",0.37 
tt0352165,2003,American Made,Dramatization,"$50,000,000 ","$51,342,000 ","$135,569,212 ",7.7,"$85,569,212 ",1.71 
tt0362526,2004,Criminal,Science Fiction,"$31,500,000 ","$14,708,696 ","$38,771,262 ",6.4,"$7,271,262 ",0.23 
tt0363211,2003,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",6.6,"($25,684,211)",(0.86)
tt0369610,2015,Jurassic World,Science Fiction,"$215,000,000 ","$652,306,625 ","$1,669,979,967 ",6.9,"$1,454,979,967 ",6.77 
tt0371495,2003,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,315,789 ",6.8,"($25,684,211)",(0.86)
tt0374065,1958,Criminal,Science Fiction,"$31,500,000 ","$14,708,696 ","$38,771,262 ",6.5,"$7,271,262 ",0.23 
tt0386342,2004,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.5,"$4,856,688 ",0.37 
tt0400391,2004,Dunkirk,Dramatization,"$150,000,000 ","$190,068,280 ","$518,058,826 ",7.2,"$368,058,826 ",2.45 
tt0451279,2017,Wonder Woman,Super Hero,"$150,000,000 ","$412,563,408 ","$818,058,221 ",7.4,"$668,058,221 ",4.45 
tt0454791,2006,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",7.7,"$4,856,688 ",0.37 
tt0456048,2004,Brothers,Contemporary Fiction,"$13,000,000 ","$656,688 ","$17,856,688 ",8.5,"$4,856,688 ",0.37 
tt0460897,2006,Spectre,Contemporary Fiction,"$300,000,000 ","$200,074,175 ","$879,500,760 ",5.7,"$579,500,760 ",1.93 
tt0476458,2005,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$167,849,187 ",5.3,"$47,849,187 ",0.40 
